Datetime,Price
1,89.06
2,78.48
3,85.16
4,50
5,37.67
6,39.7
7,40.59
8,43.26
9,49.66
10,70.05
11,76.79
12,84.1
13,94.74
14,96.8
15,97.17
16,98.52
17,114.5
18,149.97
19,146.33
20,140.28
21,121.88
22,102.61
23,97.46
24,85.16
25,57.08
26,52.59
27,48.97
28,34.94
29,29.56
30,33.97
31,34.52
32,41.8
33,48.95
34,60.01
35,70.09
36,66.26
37,64.54
38,46.96
39,40.01
40,39.3
41,40.79
42,47.91
43,65.09
44,67.85
45,62.22
46,46.16
47,46.29
48,32.93
49,2.71
50,1.71
51,1.24
52,0.06
53,0.09
54,1.44
55,41.11
56,90.54
57,161.79
58,180.36
59,125.03
60,100.74
61,96.39
62,95.22
63,102.67
64,112.87
65,126.8
66,148.49
67,175.06
68,180
69,146.43
70,105.71
71,114.11
72,100.36
73,125.47
74,115.55
75,113.29
76,105.81
77,105
78,115.11
79,156.91
80,182.64
81,178.91
82,190
83,189.88
84,182.42
85,182.46
86,179.59
87,179
88,180.93
89,166.69
90,189.88
91,184.94
92,178.99
93,156.12
94,148.65
95,137.92
96,105
97,120.11
98,105.1
99,84.5
100,75.38
101,79.11
102,94.79
103,169.04
104,215.98
105,211.13
106,226.52
107,224.45
108,202.8
109,205
110,197.34
111,195.6
112,200
113,206.07
114,242.1
115,265
116,265
117,241.93
118,218.95
119,207.46
120,200
121,207.15
122,204.22
123,191.82
124,180.7
125,170.1
126,194.38
127,204.22
128,228.25
129,240.98
130,257.44
131,245.24
132,231.9
133,226
134,209.2
135,216.06
136,230.77
137,245.95
138,274.11
139,273.44
140,278.36
141,251.71
142,229.96
143,216.44
144,210
145,213.47
146,189
147,180
148,164.9
149,162.8
150,165
151,165.2
152,215.89
153,254.19
154,257.24
155,254.18
156,241.22
157,240.2
158,212.69
159,207.05
160,210.11
161,220.21
162,243.84
163,260
164,250
165,239.09
166,213.81
167,216.13
168,205.74
